demon	d_deleted	test	t_deleted	start
South Korea and the Soviet Union have no diplomatic relations but exchanged trade offices earlier this year	no diplomatic relations	The mining zone has thus remained one of the most desolate places in Africa	one of the most desolate places in Africa	6
The plan would impose a brief freeze on physician fees next year	a brief freeze	Right away you notice the following things about a Philip Glass concert	the following things about a Philip Glass concert	4
Tymnet is a major network linking computers	a major network linking computers	And the egg producers have done a pretty good job	a pretty good job	6
She and her husband started a small printing business and need the car for work as well as for weekend jaunts	a small printing business	Both revenue figures exclude excise taxes	excise taxes	4
The plan lacked a withdrawal timetable	a withdrawal timetable	Only for yardwork and home maintenance did women do less than half	less than half	9
Ski promotions have traditionally avoided the touchy issue of safety	the touchy issue of safety	They grew up with more brand choices than any generation and have shown less allegiance so far	less allegiance	13
The other two portions of the deal are remarketings of outstanding debt rather than new issues	remarketings of outstanding debt rather than new issues	Judge Merhige will make the appointment	the appointment	4
That brought a chain reaction in the industry	a chain reaction in the industry	New Canaan Investments is a closely held investment partnership with interests primarily in the packaging industry	a closely held investment partnership with interests primarily in the packaging industry	4
Liquidity is not a service	a service	Others analyze the data	the data	2
But the shaky economic outlook and the volatile stock market forced the dollar lower against major currencies	the dollar	Other network applications have very different goals	very different goals	4
